RMSD(ArbAlign),nameA,nameB,reflect,swap
2.6293933597504267,1ln1_DLP,1ln1_DLP_model_0_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
2.4082359193535416,1ln1_DLP,1ln1_DLP_model_1_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
3.0878714083389904,1ln1_DLP,1ln1_DLP_model_2_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
1.8373705374782874,1ln1_DLP,1ln1_DLP_model_3_chainB_pH74,"(1, 1, -1)","(0, 2, 1)"
2.9708800394997614,1ln1_DLP,1ln1_DLP_model_4_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)"
2.719550472981464,1ln1_DLP,1ln1_DLP_model_5_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)"
3.202507135465424,1ln1_DLP,1ln1_DLP_model_6_chainB_pH74,"(-1, 1, 1)","(1, 0, 2)"
3.3171912843487186,1ln1_DLP,1ln1_DLP_model_7_chainB_pH74,"(-1, 1, -1)","(2, 0, 1)"
3.8464585667322013,1ln1_DLP,1ln1_DLP_model_8_chainB_pH74,"(1, 1, -1)","(2, 0, 1)"
3.331486993015738,1ln1_DLP,1ln1_DLP_model_9_chainB_pH74,"(1, -1, -1)","(2, 0, 1)"
3.297856845151313,1ln1_DLP,1ln1_DLP_model_10_chainB_pH74,"(-1, 1, -1)","(1, 2, 0)"
3.3988411069344884,1ln1_DLP,1ln1_DLP_model_11_chainB_pH74,"(1, 1, 1)","(2, 1, 0)"
2.9354878150810153,1ln1_DLP,1ln1_DLP_model_12_chainB_pH74,"(-1, -1, 1)","(2, 0, 1)"
2.9608506767572136,1ln1_DLP,1ln1_DLP_model_13_chainB_pH74,"(-1, -1, 1)","(0, 1, 2)"
2.737892824004378,1ln1_DLP,1ln1_DLP_model_14_chainB_pH74,"(-1, -1, -1)","(0, 2, 1)"
3.1581495485932907,1ln1_DLP,1ln1_DLP_model_15_chainB_pH74,"(1, 1, -1)","(0, 1, 2)"
2.7752536687818496,1ln1_DLP,1ln1_DLP_model_16_chainB_pH74,"(1, -1, 1)","(1, 0, 2)"
3.0772990452813156,1ln1_DLP,1ln1_DLP_model_17_chainB_pH74,"(-1, -1, 1)","(1, 2, 0)"
